contentId,personId,url,lang,timestamp
1179326165172129711,-5094446514734487376,http://gizmodo.uol.com.br/vies-numeros-primos/,pt,1458147079
1179326165172129711,-5299969637554720500,http://gizmodo.uol.com.br/vies-numeros-primos/,pt,1458148861
1179326165172129711,-9016528795238256703,http://gizmodo.uol.com.br/vies-numeros-primos/,pt,1458149165
1179326165172129711,2382182321331880703,http://gizmodo.uol.com.br/vies-numeros-primos/,pt,1458151056
1179326165172129711,-1994081661238157543,http://gizmodo.uol.com.br/vies-numeros-primos/,pt,1458646446
-9157338616628196758,6409254426985102122,http://economia.ig.com.br/2016-03-27/situacao-financeira-ruim-de-varejistas-pressiona-shoppings-e-eleva-renegociacoes.html,pt,1459217681
-5917314377186856799,7563882320191729616,http://www.senar.org.br/agricultura-precisao/artigos-e-palestras/,pt,1459248667
6157037646878010131,-4744441833918341987,https://www.macroprograma1.cnptia.embrapa.br/redeap2,pt,1459249544
-5917314377186856799,-4744441833918341987,http://www.senar.org.br/agricultura-precisao/artigos-e-palestras/,pt,1459249594
-5917314377186856799,8243474948679935093,http://www.senar.org.br/agricultura-precisao/artigos-e-palestras/,pt,1459250700
6157037646878010131,2873028073541627603,https://www.macroprograma1.cnptia.embrapa.br/redeap2,pt,1459251136
-5917314377186856799,-4312494396888667550,http://www.senar.org.br/agricultura-precisao/artigos-e-palestras/,pt,1459251404
6157037646878010131,-4312494396888667550,https://www.macroprograma1.cnptia.embrapa.br/redeap2,pt,1459251420
-1672166631728511207,1120069409160402054,https://www.coinbr.net/blog/america-latina-apresenta-forte-potencial-para-o-bitcoin/,pt,1459252425
6157037646878010131,1120069409160402054,https://www.macroprograma1.cnptia.embrapa.br/redeap2,pt,1459252572
-5917314377186856799,3028038382445447853,http://www.senar.org.br/agricultura-precisao/artigos-e-palestras/,pt,1459254160
-1672166631728511207,2551221442168658664,https://www.coinbr.net/blog/america-latina-apresenta-forte-potencial-para-o-bitcoin/,pt,1459254246
6157037646878010131,2111379813881770134,https://www.macroprograma1.cnptia.embrapa.br/redeap2,pt,1459254507
6157037646878010131,2111379813881770134,https://www.macroprograma1.cnptia.embrapa.br/redeap2,pt,1459254746
-1672166631728511207,1949009070102523745,https://www.coinbr.net/blog/america-latina-apresenta-forte-potencial-para-o-bitcoin/,pt,1459255665
-1672166631728511207,1949009070102523745,https://www.coinbr.net/blog/america-latina-apresenta-forte-potencial-para-o-bitcoin/,pt,1459255673
-1672166631728511207,8006128198708352549,https://www.coinbr.net/blog/america-latina-apresenta-forte-potencial-para-o-bitcoin/,pt,1459255764
5714314286511882372,1895326251577378793,https://www.sympla.com.br/como-startups-e-grandes-empresas-podem-colaborar-para-inovar-mais-e-melhor__60973,pt,1459257486
5714314286511882372,-5708042355439521851,https://www.sympla.com.br/como-startups-e-grandes-empresas-podem-colaborar-para-inovar-mais-e-melhor__60973,pt,1459257495
-8141818108252244664,1895326251577378793,https://www.sympla.com.br/pimp-my-pitch-como-fazer-um-pitch-poderoso__60657,pt,1459257591
5714314286511882372,1895326251577378793,https://www.sympla.com.br/como-startups-e-grandes-empresas-podem-colaborar-para-inovar-mais-e-melhor__60973,pt,1459257599
5714314286511882372,-5708042355439521851,https://www.sympla.com.br/como-startups-e-grandes-empresas-podem-colaborar-para-inovar-mais-e-melhor__60973,pt,1459258069
-8141818108252244664,-1602833675167376798,https://www.sympla.com.br/pimp-my-pitch-como-fazer-um-pitch-poderoso__60657,pt,1459258088
5714314286511882372,-1602833675167376798,https://www.sympla.com.br/como-startups-e-grandes-empresas-podem-colaborar-para-inovar-mais-e-melhor__60973,pt,1459258198
5714314286511882372,1120069409160402054,https://www.sympla.com.br/como-startups-e-grandes-empresas-podem-colaborar-para-inovar-mais-e-melhor__60973,pt,1459258406
5714314286511882372,1895326251577378793,https://www.sympla.com.br/como-startups-e-grandes-empresas-podem-colaborar-para-inovar-mais-e-melhor__60973,pt,1459258862
5714314286511882372,-1602833675167376798,https://www.sympla.com.br/como-startups-e-grandes-empresas-podem-colaborar-para-inovar-mais-e-melhor__60973,pt,1459259162
-8141818108252244664,2416280733544962613,https://www.sympla.com.br/pimp-my-pitch-como-fazer-um-pitch-poderoso__60657,pt,1459260297
-1672166631728511207,3891637997717104548,https://www.coinbr.net/blog/america-latina-apresenta-forte-potencial-para-o-bitcoin/,pt,1459263736
5714314286511882372,2542290381109225938,https://www.sympla.com.br/como-startups-e-grandes-empresas-podem-colaborar-para-inovar-mais-e-melhor__60973,pt,1459264281
6157037646878010131,4947619689618669252,https://www.macroprograma1.cnptia.embrapa.br/redeap2,pt,1459264567
