contentId,personId,url,lang
310515487419366995,-1130272294246983140,http://blog.runrun.it/erros-de-portugues-em-e-mails/,pt
310515487419366995,344280948527967603,http://blog.runrun.it/erros-de-portugues-em-e-mails/,pt
310515487419366995,-8763398617720485024,http://blog.runrun.it/erros-de-portugues-em-e-mails/,pt
-8864073373672512525,3609194402293569455,http://www.startupsstars.com/2016/06/video-intraempreendedorismo-como-atitude-pelos-funcionarios-e-chefes/,pt
310515487419366995,3609194402293569455,http://blog.runrun.it/erros-de-portugues-em-e-mails/,pt
3460026829794173084,1908339160857512799,http://www.melhoresdestinos.com.br/aeronave-design-latam.html,pt
372531153711028286,8239286975497580612,http://cio.com.br/tecnologia/2016/05/25/devops-requer-profundas-mudancas-operacionais-que-o-cio-precisa-promover/,pt
-8142426490949346803,1908339160857512799,http://www.cutedrop.com.br/2016/04/a-identidade-budapeste-olimpiadas-2024/,pt
1441248639512899483,8239286975497580612,http://www.diolinux.com.br/2016/05/one-dollar-board-um-projeto-brasileiro.html,pt
-5924996404988010,6879394870211872116,http://googlediscovery.com/2016/05/20/google-lanca-aplicativo-de-ciencias-para-android/,pt
-1470592927114056630,-2339455719722814827,http://www.hugogloss.com/index.php/cool/estudante-de-direito-da-licao-em-colegas-apos-virar-piada-entre-eles-veja-o-video/,pt
-8418620743404378592,-2050699458865052139,https://www.facebook.com/brasilART/videos/1241077715920886/?pnref=story,pt
-5799839529845993396,-7990997793599977496,http://www.brasilpost.com.br/nathalie-vassallo/o-problema-do-gay_b_5044958.html,pt
-7613994611628693820,-7496361692498935601,http://www.valor.com.br/financas/4535213/cmn-regulamenta-abertura-de-conta-de-deposito-por-meio-eletronico,pt
-5636731245639685654,4947619689618669252,http://www.grupocultivar.com.br/noticias/especial-agrishow-solucoes-de-agricultura-de-precisao-elevam-produtividade-e-aumentam-a-qualidade-do-plantio,pt
-7613994611628693820,-2511855597392146401,http://www.valor.com.br/financas/4535213/cmn-regulamenta-abertura-de-conta-de-deposito-por-meio-eletronico,pt
